dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,102.785507,31.079306,103.643982,9.423441,-0.030424,-0.001151,0.238327
0.100000,103.700595,31.303025,104.586021,9.420387,-0.030539,-0.001154,0.241225
0.100000,104.614732,31.529328,105.527753,9.417322,-0.030655,-0.001155,0.244138
0.100000,105.527906,31.758226,106.469178,9.414245,-0.030770,-0.001156,0.247067
0.100000,106.440104,31.989728,107.410293,9.411156,-0.030886,-0.001156,0.250011
0.100000,107.351314,32.223845,108.351099,9.408056,-0.031001,-0.001154,0.252971
0.100000,108.261525,32.460587,109.291593,9.404944,-0.031117,-0.001152,0.255946
0.100000,109.170723,32.699963,110.231775,9.401821,-0.031231,-0.001148,0.258937
0.100000,110.078896,32.941983,111.171644,9.398687,-0.031346,-0.001144,0.261944
0.100000,110.986032,33.186659,112.111198,9.395541,-0.031460,-0.001138,0.264966
0.100000,111.892118,33.433999,113.050437,9.392384,-0.031573,-0.001131,0.268004
0.100000,112.797141,33.684013,113.989358,9.389215,-0.031685,-0.001122,0.271058
0.100000,113.701088,33.936711,114.927962,9.386035,-0.031796,-0.001113,0.274128
0.100000,114.603946,34.192104,115.866246,9.382845,-0.031906,-0.001102,0.277213
0.100000,115.505702,34.450200,116.804210,9.379643,-0.032015,-0.001090,0.280315
0.100000,116.406342,34.711010,117.741854,9.376431,-0.032123,-0.001077,0.283433
0.100000,117.305853,34.974543,118.679174,9.373208,-0.032229,-0.001063,0.286567
0.100000,118.204222,35.240810,119.616172,9.369975,-0.032334,-0.001047,0.289717
0.100000,119.101435,35.509819,120.552845,9.366731,-0.032437,-0.001030,0.292883
0.100000,119.997478,35.781580,121.489193,9.363477,-0.032538,-0.001011,0.296065
0.100000,120.892337,36.056102,122.425214,9.360213,-0.032637,-0.000991,0.299264
0.100000,121.785999,36.333397,123.360908,9.356940,-0.032734,-0.000969,0.302479
0.100000,122.678449,36.613471,124.296274,9.353657,-0.032829,-0.000946,0.305710
0.100000,123.569673,36.896336,125.231310,9.350365,-0.032921,-0.000922,0.308958
0.100000,124.459663,37.182001,126.166022,9.347122,-0.032428,0.004927,0.312222
0.100000,125.348416,37.470482,127.100422,9.343997,-0.031250,0.011786,0.315502
0.100000,126.235901,37.761780,128.034491,9.340688,-0.033089,-0.018393,0.318799
0.100000,127.122104,38.055905,128.968228,9.337371,-0.033173,-0.000839,0.322113
0.100000,128.007010,38.352867,129.901632,9.334046,-0.033254,-0.000807,0.325443
0.100000,128.890603,38.652674,130.834704,9.330712,-0.033331,-0.000774,0.328790
0.100000,129.772870,38.955336,131.767441,9.327372,-0.033405,-0.000739,0.332153
0.100000,130.653795,39.260861,132.699843,9.324024,-0.033475,-0.000702,0.335533
0.100000,131.533363,39.569257,133.631910,9.320670,-0.033541,-0.000664,0.338929
0.100000,132.411560,39.880534,134.563641,9.317310,-0.033604,-0.000624,0.342342
0.100000,133.288369,40.194701,135.495036,9.313944,-0.033662,-0.000583,0.345772
0.100000,134.163776,40.511765,136.426093,9.310572,-0.033716,-0.000539,0.349218
0.100000,135.037780,40.831741,137.356827,9.307341,-0.032307,0.014088,0.352681
0.100000,135.910370,41.154639,138.287244,9.304173,-0.031682,0.006256,0.356161
0.100000,136.781511,41.480460,139.217324,9.300794,-0.033794,-0.021126,0.359658
0.100000,137.651189,41.809213,140.147065,9.297411,-0.033833,-0.000382,0.363171
0.100000,138.519388,42.140906,141.076467,9.294024,-0.033866,-0.000331,0.366701
0.100000,139.386091,42.475547,142.005531,9.290635,-0.033893,-0.000278,0.370248
0.100000,140.251284,42.813143,142.934255,9.287243,-0.033916,-0.000223,0.373811
0.100000,141.114949,43.153703,143.862640,9.283850,-0.033932,-0.000166,0.377391
0.100000,141.977071,43.497234,144.790685,9.280455,-0.033943,-0.000108,0.380988
0.100000,142.837673,43.843760,145.718433,9.277478,-0.029778,0.041648,0.384601
0.100000,143.696700,44.193273,146.645842,9.274089,-0.033891,-0.041126,0.388232
0.100000,144.554137,44.545780,147.572912,9.270697,-0.033912,-0.000213,0.391878
0.100000,145.409966,44.901288,148.499643,9.267307,-0.033901,0.000109,0.395542
0.100000,146.264171,45.259806,149.426034,9.263919,-0.033884,0.000175,0.399222
0.100000,147.116737,45.621339,150.352088,9.260533,-0.033859,0.000244,0.402919
0.100000,147.967649,45.985897,151.277805,9.257175,-0.033579,0.002800,0.406632
0.100000,148.816928,46.353501,152.203228,9.254230,-0.029449,0.041308,0.410361
0.100000,149.664517,46.724143,153.128314,9.250856,-0.033737,-0.042886,0.414108
0.100000,150.510401,47.097828,154.053063,9.247488,-0.033687,0.000500,0.417871
0.100000,151.354563,47.474563,154.977475,9.244125,-0.033630,0.000576,0.421650
0.100000,152.196986,47.854355,155.901552,9.240768,-0.033564,0.000655,0.425445
0.100000,153.037653,48.237209,156.825294,9.237419,-0.033491,0.000734,0.429257
0.100000,153.876592,48.623152,157.748749,9.234556,-0.028627,0.048639,0.433085
0.100000,154.713742,49.012171,158.671872,9.231228,-0.033282,-0.046548,0.436930
0.100000,155.549087,49.404270,159.594663,9.227904,-0.033239,0.000430,0.440790
0.100000,156.382608,49.799456,160.517122,9.224591,-0.033135,0.001034,0.444667
0.100000,157.214291,50.197735,161.439251,9.221289,-0.033023,0.001122,0.448559
0.100000,158.044141,50.599122,162.361076,9.218256,-0.030330,0.026935,0.452468
0.100000,158.872139,51.003624,163.282598,9.215217,-0.030387,-0.000578,0.456393
0.100000,159.698247,51.411234,164.203793,9.211950,-0.032668,-0.022802,0.460333
