dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,315.161076,203.923986,424.683032,10.546740,-0.029027,0.001642,1.363413
0.100000,315.376770,204.956073,425.737417,10.543854,-0.028859,0.001673,1.366132
0.100000,315.589606,205.988461,426.791516,10.540985,-0.028689,0.001703,1.368836
0.100000,315.799599,207.021130,427.845319,10.538037,-0.029472,-0.007833,1.371526
0.100000,316.006760,208.054056,428.898814,10.534951,-0.030868,-0.013960,1.374201
0.100000,316.211109,209.087253,429.952026,10.532115,-0.028360,0.025079,1.376863
0.100000,316.412661,210.120712,431.004955,10.529297,-0.028180,0.001807,1.379510
0.100000,316.611432,211.154425,432.057605,10.526497,-0.027996,0.001836,1.382143
0.100000,316.807435,212.188382,433.109977,10.523716,-0.027809,0.001865,1.384762
0.100000,317.000686,213.222577,434.162072,10.520954,-0.027620,0.001893,1.387367
0.100000,317.191200,214.257001,435.213893,10.518211,-0.027428,0.001921,1.389958
0.100000,317.378992,215.291645,436.265442,10.515488,-0.027233,0.001949,1.392535
0.100000,317.564076,216.326503,437.316721,10.512784,-0.027036,0.001976,1.395098
0.100000,317.746468,217.361566,438.367731,10.510101,-0.026835,0.002003,1.397648
0.100000,317.926181,218.396827,439.418474,10.507438,-0.026632,0.002029,1.400184
0.100000,318.103224,219.432241,440.468916,10.504411,-0.030266,-0.036338,1.402707
0.100000,318.277615,220.467819,441.519075,10.501594,-0.028174,0.020920,1.405216
0.100000,318.449371,221.503572,442.568972,10.498971,-0.026224,0.019502,1.407711
0.100000,318.618506,222.539492,443.618609,10.496370,-0.026012,0.002122,1.410194
0.100000,318.785036,223.575573,444.667988,10.493790,-0.025797,0.002147,1.412663
0.100000,318.948974,224.611809,445.717111,10.491232,-0.025580,0.002171,1.415119
0.100000,319.110334,225.648192,446.765981,10.488696,-0.025361,0.002195,1.417561
0.100000,319.269131,226.684717,447.814599,10.486182,-0.025139,0.002219,1.419991
0.100000,319.425374,227.721352,448.862943,10.483439,-0.027435,-0.022960,1.422408
0.100000,319.579075,228.758069,449.910991,10.480484,-0.029547,-0.021129,1.424812
0.100000,319.730255,229.794907,450.958793,10.478016,-0.024683,0.048648,1.427203
0.100000,319.878927,230.831860,452.006350,10.475571,-0.024452,0.002304,1.429581
0.100000,320.025106,231.868924,453.053665,10.473149,-0.024219,0.002327,1.431947
0.100000,320.168804,232.906092,454.100740,10.470750,-0.023985,0.002349,1.434300
0.100000,320.310036,233.943358,455.147577,10.468375,-0.023748,0.002370,1.436640
0.100000,320.448809,234.980679,456.194140,10.465621,-0.027542,-0.037941,1.438968
0.100000,320.585138,236.018041,457.240421,10.462818,-0.028037,-0.004950,1.441284
0.100000,320.719040,237.055485,458.286471,10.460492,-0.023253,0.047837,1.443587
0.100000,320.850530,238.093005,459.332290,10.458191,-0.023008,0.002449,1.445878
0.100000,320.979621,239.130597,460.377881,10.455915,-0.022761,0.002469,1.448157
0.100000,321.106326,240.168256,461.423248,10.453664,-0.022513,0.002488,1.450424
0.100000,321.230652,241.205933,462.468346,10.450985,-0.026796,-0.042830,1.452679
0.100000,321.352613,242.243614,463.513169,10.448234,-0.027510,-0.007149,1.454921
0.100000,321.472227,243.281347,464.557773,10.446035,-0.021987,0.055233,1.457152
0.100000,321.589508,244.319127,465.602159,10.443862,-0.021731,0.002561,1.459372
0.100000,321.704467,245.356951,466.646331,10.441714,-0.021473,0.002579,1.461579
0.100000,321.817118,246.394808,467.690284,10.439537,-0.021778,-0.003051,1.463775
0.100000,321.927463,247.432598,468.733923,10.436392,-0.031447,-0.096682,1.465959
0.100000,322.035525,248.470417,469.777353,10.434299,-0.020924,0.105226,1.468131
0.100000,322.141317,249.508262,470.820577,10.432234,-0.020659,0.002647,1.470293
0.100000,322.244851,250.546130,471.863596,10.430194,-0.020393,0.002663,1.472442
0.100000,322.346140,251.584007,472.906404,10.428077,-0.021176,-0.007828,1.474581
0.100000,322.445185,252.621790,473.948902,10.424986,-0.030905,-0.097292,1.476708
0.100000,322.542009,253.659584,474.991203,10.423004,-0.019821,0.110841,1.478824
0.100000,322.636626,254.697384,476.033308,10.421049,-0.019548,0.002726,1.480929
0.100000,322.729046,255.735190,477.075220,10.419122,-0.019274,0.002741,1.483023
0.100000,322.819277,256.772935,478.116881,10.416612,-0.025095,-0.058205,1.485106
0.100000,322.907330,257.810610,479.158285,10.414034,-0.025780,-0.006857,1.487178
0.100000,322.993223,258.848277,480.199501,10.412166,-0.018681,0.070997,1.489239
0.100000,323.076968,259.885936,481.240534,10.410326,-0.018401,0.002800,1.491290
0.100000,323.158575,260.923565,482.281367,10.408334,-0.019926,-0.015257,1.493329
0.100000,323.238048,261.961059,483.321900,10.405332,-0.030011,-0.100851,1.495358
0.100000,323.315408,262.998534,484.362256,10.403553,-0.017791,0.122205,1.497377
0.100000,323.390666,264.035989,485.402436,10.401803,-0.017506,0.002854,1.499385
0.100000,323.463834,265.073416,486.442441,10.400048,-0.017550,-0.000445,1.501383
0.100000,323.534913,266.110675,487.482131,10.396906,-0.031415,-0.138655,1.503370
0.100000,323.603925,267.147903,488.521653,10.395218,-0.016880,0.145351,1.505347
0.100000,323.670881,268.185100,489.561009,10.393559,-0.016590,0.002905,1.507314
0.100000,323.735791,269.222247,490.600185,10.391758,-0.018008,-0.014183,1.509270
0.100000,323.798658,270.259219,491.639061,10.388763,-0.029951,-0.119424,1.511217
0.100000,323.859503,271.296152,492.677778,10.387168,-0.015950,0.140005,1.513153
0.100000,323.918336,272.333045,493.716339,10.385603,-0.015655,0.002952,1.515080
0.100000,323.975165,273.369836,494.754685,10.383469,-0.021338,-0.056828,1.516996
0.100000,324.029998,274.406477,495.792777,10.380911,-0.025581,-0.042431,1.518903
0.100000,324.082852,275.443072,496.830718,10.379411,-0.015001,0.105797,1.520800
0.100000,324.133737,276.479618,497.868512,10.377941,-0.014702,0.002995,1.522687
0.100000,324.182658,277.515982,498.906030,10.375184,-0.027570,-0.128681,1.524565
0.100000,324.229630,278.552254,499.943366,10.373356,-0.018276,0.092937,1.526433
0.100000,324.274665,279.588471,500.980561,10.371953,-0.014035,0.042412,1.528291
0.100000,324.317771,280.624579,502.017565,10.370045,-0.019079,-0.050439,1.530140
0.100000,324.358955,281.660505,503.054310,10.367441,-0.026035,-0.069566,1.531980
0.100000,324.398234,282.696371,504.090920,10.366106,-0.013358,0.126768,1.533810
0.100000,324.435617,283.732177,505.127400,10.364800,-0.013052,0.003064,1.535631
0.100000,324.471108,284.767745,506.163577,10.361766,-0.030342,-0.172905,1.537443
0.100000,324.504723,285.803240,507.199617,10.360402,-0.013644,0.166982,1.539245
0.100000,324.536377,286.835467,508.232330,10.327128,-0.332738,-3.190940,1.541033
0.100000,324.565861,287.856008,509.253296,10.209664,-1.174636,-8.418982,1.542793
0.100000,324.592982,288.854814,510.252470,9.991743,-2.179217,-10.045808,1.544506
0.100000,324.617690,289.825004,511.222975,9.705041,-2.867011,-6.877939,1.546163
0.100000,324.640087,290.764519,512.162757,9.397822,-3.072195,-2.051845,1.547760
0.100000,324.660333,291.673617,513.072080,9.093230,-3.045917,0.262786,1.549298
0.100000,324.678570,292.552059,513.950712,8.786321,-3.069090,-0.231735,1.550778
0.100000,324.694943,293.400048,514.798858,8.481463,-3.048581,0.205089,1.552202
0.100000,324.709587,294.217547,515.616489,8.176308,-3.051555,-0.029734,1.553568
0.100000,324.722629,295.004447,516.403497,7.870082,-3.062260,-0.107054,1.554879
0.100000,324.734196,295.760891,517.160029,7.565317,-3.047647,0.146132,1.556134
0.100000,324.744405,296.486865,517.886075,7.260463,-3.048535,-0.008882,1.557335
0.100000,324.753369,297.182364,518.581631,6.955563,-3.049007,-0.004712,1.558481
0.100000,324.761196,297.847383,519.246697,6.650657,-3.049062,-0.000551,1.559574
0.100000,324.767987,298.481926,519.881276,6.345786,-3.048702,0.003600,1.560613
0.100000,324.773841,299.085997,520.485375,6.040994,-3.047928,0.007737,1.561600
0.100000,324.778848,299.659607,521.059007,5.736319,-3.046742,0.011860,1.562534
0.100000,324.783096,300.202771,521.602188,5.431805,-3.045145,0.015967,1.563416
0.100000,324.786667,300.715507,522.114937,5.127491,-3.043140,0.020056,1.564247
0.100000,324.789638,301.197840,522.597278,4.823418,-3.040727,0.024126,1.565027
0.100000,324.792081,301.649787,523.049232,4.519534,-3.038842,0.018849,1.565756
0.100000,324.794061,302.071192,523.470642,4.214103,-3.054306,-0.154633,1.566435
0.100000,324.795644,302.462258,523.861711,3.910688,-3.034150,0.201554,1.567063
0.100000,324.796886,302.822933,524.222388,3.606768,-3.039202,-0.050516,1.567642
0.100000,324.797841,303.153144,524.552601,3.302129,-3.046395,-0.071932,1.568171
0.100000,324.798556,303.453028,524.852485,2.998845,-3.032835,0.135598,1.568650
